PHASE 77 - STEP 1: COMPLETE FUNCTION INVENTORY
===============================================
Phase: 77
Date: 2026-09-24
Environment: READ-ONLY code audit. NO production mutations. NO browser automation available. NO Vercel dashboard access.
Method: Static inspection of backend/apps/* (37 apps), backend/config/urls.py, frontend/src (58 pages, 13 components, 14 utility modules), test files, prior-phase artifacts (PHASE_73/75/76).
Status taxonomy (Phase 75/76 rules): WORKING_PROVEN | READ_ONLY_PROVEN | IMPLEMENTED_UNVERIFIED | AUTH_TEST_BLOCKED | MUTATION_BLOCKED | DEPLOYMENT_UNVERIFIED | BROKEN | NOT_APPLICABLE.
Overall_status = highest defensible label; IMPLEMENTED_UNVERIFIED is default for source-complete features whose production operation is unproven; AUTH_TEST_BLOCKED noted where authentication is the only blocker; MUTATION_BLOCKED where feature requires production data write with no authorized path.
Roles: 18 canonical roles from backend/apps/accounts/models.py Role enum (super_admin, org_admin, head_office, admin, principal, vice_principal, campus_admin, academic, accountant, hr, receptionist, librarian, guard, nurse, teacher, parent, student, staff).

Columns:
id | module | category | name | purpose | frontend | backend | api | roles | implemented | implemented_correctly | test_coverage | integrated | production_status | overall_status | evidence | notes
FUNC-0004|AUTH|Authentication|Password reset flow|Request reset + confirm reset|src/pages/LoginPage.jsx (link)|apps/accounts (PasswordResetRequestView, PasswordResetConfirmView)|POST /api/auth/password-reset/, /confirm/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PasswordResetTests)|PARTIAL (no dedicated reset UI page; link path only)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Views present in accounts/urls.py + tests|UI completeness unverified

FUNC-0005|AUTH|Authentication|Password change|Change own password with history reuse check|src/pages/SettingsPage.jsx|apps/accounts (PasswordChangeView, PasswordHistory model)|POST /api/auth/password-change/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PasswordChangeTests, PasswordReusePolicyTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Views+tests present|-

FUNC-0006|AUTH|Authentication|Two-factor authentication (TOTP)|Status/setup/activate/disable + backup codes|src/pages/TwoFASection.jsx|apps/accounts (TwoFA*Views, TwoFABackupCode model)|GET/POST /api/auth/2fa/status/,/setup/,/activate/,/disable/; /backup-codes/; /verify-backup/|ALL (self); admin for policies|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TwoFABackupCodeTests, TwoFAVerifyBackupCodeTests, BackupCodeHardeningTests, GoogleSso2FaRequiredTest)|INTEGRATED (TwoFASection.jsx)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Complete 2FA suite in accounts|-

FUNC-0007|AUTH|Authentication|Google Sign-In (SSO)|OAuth Google login + config|src/pages/LoginPage.jsx (GSI)|apps/accounts (GoogleConfigView, GoogleLoginView)|GET /api/auth/google/config/, /google/login/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (GoogleSso2FaRequiredTest)|INTEGRATED (LoginPage GSI)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Views present; 2FA enforced on SSO per test|External provider config required

FUNC-0008|AUTH|Authentication|Email verification|Send + confirm verification token|src/pages/VerifyEmailPage.jsx|apps/accounts (EmailVerificationSendView, EmailVerificationConfirmView, EmailVerification model)|POST /api/auth/email-verify/send/, /confirm/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TEST FILES (accounts tests cover auth broadly)|INTEGRATED (VerifyEmailPage consumes ?token=)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Views present in accounts/urls.py; public route /verify-email|Email delivery depends on provider

FUNC-0009|AUTH|Session management|List/revoke own sessions|Security: view active sessions, revoke all or single|src/pages/SettingsPage.jsx|apps/accounts (SessionListView, SessionRevokeView, SessionRevokeAllView, UserSession model)|GET /api/auth/sessions/, POST /revoke-all/, /sessions/{id}/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SessionManagementTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Present in accounts/urls.py|-

FUNC-0010|AUTH|Role & permission management|List roles/permissions; role-permission + user-permission CRUD|Role/permission catalog views used by platform admins|src/pages/SettingsPage.jsx, TenantsPage.jsx|apps/accounts (RoleListView, PermissionListView, RolePermission*View, UserPermission*View; RolePermission, UserPermission models)|GET /api/auth/roles/, /permissions/, /role-permissions/..., /user-permissions/..., /user-permissions/summary/{user_id}/|super_admin,org_admin,head_office|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PermissionCatalogSeedingTests, RolePermissionTests, UserPermissionTests, UserPermissionEffectiveTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Full catalog + seeding tests in accounts|Role hierarchy escalation guards tested (RoleEscalationTests)

FUNC-0011|AUTH|Institution context|Active institution / campus scope|Set/read active institution+campus for scoped requests|src/schoolContext.jsx|apps/accounts (ActiveInstitutionView, ActiveCampusView)|GET/POST /api/auth/active-institution/, /active-campus/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SchoolContextControlTests, SchoolSwitchingTests)|INTEGRATED (schoolContext query + switcher)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Views present + school-scope tests|-

FUNC-0012|AUTH|Tenant provisioning|Platform super-admin schools CRUD + switch|Create/list schools, switch active school (multi-tenant)|src/pages/TenantsPage.jsx|apps/accounts (SuperAdminSchoolListView/CreateView/SwitchView)|GET/POST /api/auth/super-admin/schools/, /create/, /switch/|super_admin,org_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SchoolProvisioningTests: SchoolCreationTests, CredentialSecurityTests, SwitchSemanticsTests)|INTEGRATED (TenantsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Provisioning suite in accounts/test_school_provisioning.py|-

FUNC-0013|CORE|Platform/health|Liveness + DB probe|Return status + database.ok + deploy_version|src/pages/HealthPage.jsx|config/urls.py (health_check)|GET /api/health/ (with ?probe=db)|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DIRECT UNIT TEST (covered by saas HealthCheckTests)|INTEGRATED (HealthPage)|PRODUCTION_TESTED (HTTP 200 + database.ok=true on frontend+API)|READ_ONLY_PROVEN|Verified HTTP 200 with database.ok=true on both vercel hosts (PHASE_73/75 evidence)|ONLY production-proven endpoint; deploy_version label 63-test-3

FUNC-0014|CORE|Platform/health|Deployment marker endpoint|Return PHASE_66 marker + commit SHA|none (test curl only)|config/urls.py (DeployTestView)|GET /api/deploy-test/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|N/A (backend only)|PRODUCTION_404 (HTTP 404 on both hosts)|BROKEN_ROUTE|Route defined in config/urls.py line 81 but returns 404 in production -> Vercel Python serverless artifact incomplete; /api/health/ on same prefix works|R73-P0-001 evidence: route-specific artifact omission

FUNC-0015|CORE|Platform/health|CSP violation report|Receive browser CSP violation reports|none|apps/audit (CSPViolationReportView, CSPViolation model)|POST /api/csp-report/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (CSPViolationReportingTests)|INTEGRATED (CSP header in frontend/vercel.json)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests + integration present|-

FUNC-0016|CORE|Platform|Migrations runner|Run migrations via authorized admin endpoint|none|apps/core (run_migrations_view)|POST /api/admin/run-migrations/|super_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (RunMigrationsAuthorizationTests, RunMigrationsThrottleTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|core/test_migrations.py present|Deployment pipeline uses on-start migrations

FUNC-0017|CORE|Platform|API schema/docs|OpenAPI schema + Swagger + ReDoc|none|drf-spectacular|GET /api/schema/, /docs/, /redoc/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes in config/urls.py|Requires authenticated? unverified

FUNC-0018|CORE|Platform|Admin site|Django admin|none|django.contrib.admin|/admin/|super_admin,org_admin,head_office|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Registered in config/urls.py|-

FUNC-0019|DASHBOARD|Dashboard|Overview KPIs|Stat cards, enrollment by campus, attendance %, 6-month fee trend|src/pages/Dashboard.jsx|apps/dashboard (dashboard_overview)|GET /api/dashboard/overview/|super_admin,admin,principal,academic,org_admin,head_office|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AcademicDashboardTests, DashboardIsolationTests, DashboardCountsAccuracyTests)|INTEGRATED (Dashboard.jsx)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests in dashboard/tests.py|-

FUNC-0020|DASHBOARD|Dashboard|Attendance dashboard|Attendance aggregate stats|Dashboard.jsx|apps/dashboard (dashboard_attendance)|GET /api/dashboard/attendance/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AcademicDashboardTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes in dashboard/urls.py|-

FUNC-0021|DASHBOARD|Dashboard|Finance dashboard + breakdown|Finance stats and category breakdown|Dashboard.jsx|apps/dashboard (dashboard_finance, dashboard_finance_breakdown)|GET /api/dashboard/finance/, /finance/breakdown/|super_admin,admin,principal,academic,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AcademicDashboardTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Present in dashboard/urls.py|-

FUNC-0022|DASHBOARD|Dashboard|Exams dashboard|Exam result aggregate stats|Dashboard.jsx|apps/dashboard (dashboard_exams)|GET /api/dashboard/exams/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Present in dashboard/urls.py|-

FUNC-0023|DASHBOARD|Dashboard|Executive dashboard|C-suite KPIs + alert cards|src/pages/ExecutiveDashboardPage.jsx|apps/dashboard (dashboard_executive)|GET /api/dashboard/executive/|super_admin,admin,academic,principal,vice_principal,campus_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ExecutiveDashboardTests)|INTEGRATED (ExecutiveDashboardPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|ExecutiveDashboardTests in dashboard/tests.py|-

FUNC-0024|DASHBOARD|Dashboard|Campus dashboard|Per-campus student counts and finance|src/pages/CampusDashboardPage.jsx|apps/dashboard (overview scoped)|See /api/dashboard/overview/|super_admin,admin,principal|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (DashboardIsolationTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Frontend page present|-

FUNC-0025|STUDENTS|Students|Student list/filter CRUD|Directory with search, filters, add/edit/soft-delete, credentials|src/pages/StudentsPage.jsx|apps/students (StudentListCreateView, StudentDetailView; Student, StudentDocument models)|GET/POST /api/students/, GET/PATCH/DELETE /api/students/{pk}/|super_admin,admin,principal,academic,accountant,teacher,student|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (tests.py StudentLifecycleModelTests, StudentCreationInstitutionRegressionTests, StudentStatusTransitionApiTests)|INTEGRATED (StudentsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|StudentsPage + tests present|Mutation paths MUTATION_BLOCKED per PHASE_73

FUNC-0026|STUDENTS|Students|Student 360 view|Single-student aggregator: fees, attendance, health, discipline, transport, library, exam results, lifecycle|src/pages/Student360Page.jsx|apps/students (Student360View)|GET /api/students/{student_id}/360/|super_admin,admin,principal,academic,accountant,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (Student360ModelTests, Student360SerializerTests, Student360APITests)|INTEGRATED (Student360Page)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Comprehensive tests in students/tests.py|-

FUNC-0027|STUDENTS|Students|Student profile page|Person profile w/ certificates, transcript download|src/pages/ProfilePage.jsx|apps/students (StudentDetailView, StudentCertificatePdfView, StudentTranscriptPdfView)|GET /api/students/{pk}/; /{pk}/certificate/{cert_type}/; /{pk}/transcript.pdf|super_admin,admin,principal,academic,accountant,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (ProfilePage + ProfileModal)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|PDF generation unverified

FUNC-0028|STUDENTS|Admissions|Admission applications CRUD|Applicant list/CRUD, inquiry pipeline, application number generation|src/pages/AdmissionsPage.jsx|apps/students (AdmissionApplicationListCreateView, AdmissionApplicationDetailView)|GET/POST /api/students/admissions/, /{pk}/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (AdmissionsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes in students/urls.py|-

FUNC-0029|STUDENTS|Admissions|Admission review/accept workflow|Review + accept applications|AdmissionsPage.jsx|apps/students (AdmissionApplicationReviewView, AdmissionApplicationAcceptView)|POST /api/students/admissions/{pk}/review/, /accept/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED (accept changes applicant state)|Present in students/urls.py|Requires data mutation

FUNC-0030|STUDENTS|Admissions|Public admission application|Public self-service apply form|src/pages/AdmissionsApplyPage.jsx|apps/students (PublicAdmissionApplyView, PublicAdmissionOptionsView)|GET /api/students/admissions/public/options/, POST /public/apply/|PUBLIC (unauthenticated)|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PublicAdmissionIsolationTests)|INTEGRATED (AdmissionsApplyPage; route /apply public)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|PublicAdmissionIsolationTests in schools/tests.py|-

FUNC-0031|STUDENTS|Admissions|Inquiries pipeline|Inquiry CRUD + convert to applicant|AdmissionsPage.jsx|apps/students (InquiryListCreateView, InquiryDetailView, InquiryConvertView)|GET/POST /api/students/inquiries/, /{pk}/, POST /{pk}/convert/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present in students/urls.py|-

FUNC-0032|STUDENTS|Transfers|Campus transfer workflow|Create/approve/reject/complete/cancel/reverse campus transfers|src/pages/Student360Page.jsx (StudentLifecyclePanel)|apps/students (CampusTransfer*Views; CampusTransfer model)|POST /api/students/campus-transfers/, /{pk}/approve|reject|complete|cancel|reverse|super_admin,admin,principal,vice_principal,campus_admin,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (StudentTransferTenantIsolationTests)|INTEGRATED (StudentLifecyclePanel)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Full workflow routes + tests|Campus transfer = data mutation

FUNC-0033|STUDENTS|Transfers|Section transfer workflow|Create/approve/reject/complete/cancel section transfers|StudentLifecyclePanel.jsx|apps/students (SectionTransfer*Views; SectionTransfer model)|POST /api/students/section-transfers/, /{pk}/...|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Routes present|-

FUNC-0034|STUDENTS|Transfers|Student life-cycle actions|Graduate/withdraw/activate/promote/demote|src/pages/StudentsPage.jsx, Student360Page.jsx|apps/students (StudentGraduateView, StudentWithdrawView, StudentActivateView, PromotionView, StudentLifecycleActionView, StudentBatchGraduateView)|POST /api/students/{pk}/graduate|withdraw|activate|lifecycle/; /promotions/; /graduation/batch/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (StudentBatchGraduateApiTests, StudentStatusTransitionApiTests, StudentLifecycleModelTests)|INTEGRATED (StudentLifecyclePanel, CAN_MANAGE/CAN_REVIEW arrays)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Full lifecycle + promotion tests|Promotion/demotion + status = mutation

FUNC-0035|STUDENTS|Guardians|Guardian CRUD + links|Guardian registry, student-guardian links, guardian self view|src/pages/StudentsPage.jsx, ParentPortalPage.jsx|apps/students (GuardianListCreateView, GuardianMyView, StudentGuardianListCreateView; Guardian, StudentGuardian models)|GET/POST /api/students/guardians/, /me/, /guardian-links/|super_admin,admin,principal,academic,parent|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (ParentPortal linkage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present; GuardianMyView supports parent portal|-

FUNC-0036|STUDENTS|Documents|Student documents|Upload/list/download student documents|src/pages/DocumentsPage.jsx|apps/students (StudentDocumentListCreateView, StudentDocumentDetailView; StudentDocument model)|GET/POST /api/students/documents/, /{pk}/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (StudentDocumentIsolationTests, MediaFileSecurityTests, F9DocumentUploadValidationTests)|INTEGRATED (DocumentsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Isolation + validation tests present|-

FUNC-0037|STUDENTS|Certificates|Transfer certificate issue/verify|Issue/cancel/verify transfer certificates with verify code|ProfilePage.jsx, StudentsPage|apps/students (TransferCertificate*Views; TransferCertificate model)|GET/POST /api/students/transfer-certificates/, /{pk}/issue|cancel|, /verify/{code}/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TransferCertificateVerifyTests)|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Verify route + tests present|Issue = state mutation

FUNC-0038|STUDENTS|Alumni|Alumni bridge|Student gradate into alumni; alumni CRUD|src/pages/AlumniPage.jsx|apps/students (StudentAlumniDetailView), apps/alumni (AlumniListCreateView, AlumniDetailView; AlumniProfile model)|GET/POST /api/students/alumni/, /api/alumni/, /api/alumni/{pk}/|super_admin,admin,principal,academic,alumni|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AlumniBridgeModelTests, AlumniWriteTenantIsolationTest)|INTEGRATED (AlumniPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests + routes present|alumni role not in canonical Role enum (frontend only)

FUNC-0039|STUDENTS|Leaves|Student leave requests|Request + action (approve/reject)|HomeworkPage/StudentsPage related|apps/students (StudentLeaveRequestListCreateView, StudentLeaveRequestActionView; StudentLeaveRequest model)|GET/POST /api/students/leave/, /{pk}/action/|super_admin,admin,principal,academic,teacher,student|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0040|STUDENTS|Enrollment|Enrollments CRUD + academic history|Manage enrollments and academic history|AcademicsPage.jsx|apps/students (EnrollmentListCreateView, EnrollmentDetailView, AcademicHistory*View; Enrollment, AcademicHistory models)|GET/POST /api/students/enrollments/, /{pk}/, /api/students/academic-history/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0041|TEACHERS|Teachers|Teacher directory CRUD|Add/update/delete teachers, account creation, credentials, filters|src/pages/TeachersPage.jsx|apps/teachers (TeacherListCreateView, TeacherDetailView, TeacherMyView; Teacher model)|GET/POST /api/teachers/, /{pk}/, /me/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TeacherAssignmentModelTests, TeacherAPIRegressionTests, TeacherDetailRegressionTests)|INTEGRATED (TeachersPage + ProfileModal)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests in teachers/tests.py|pytest_teacher.txt historical harness failure (module name 'teacher' vs 'teachers') resolved

FUNC-0042|TEACHERS|Teachers|Teacher self view|Teacher sees own profile|ProfilePage.jsx|apps/teachers (TeacherMyView)|GET /api/teachers/me/|teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Route present|-

FUNC-0043|TEACHERS|Assignments|Teacher-class-subject assignment|Assignments CRUD + enrollment load|src/pages/AssignmentsPage.jsx|apps/teachers (TeacherAssignmentListCreateView, TeacherAssignmentDetailView; TeacherAssignment model)|GET/POST /api/teachers/assignments/, /{pk}/|super_admin,admin,principal,academic|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TeacherAssignmentModelTests)|INTEGRATED (AssignmentsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Tests present|-

FUNC-0044|STAFF|Staff|Staff directory CRUD|Staff CRUD + optional login + credentials, filters|src/pages/StaffPage.jsx|apps/accounts (staff_urls - StaffProfile related), apps/students? None; uses StaffProfile|GET/POST /api/staff/...|super_admin,admin,principal,academic,vice_principal,campus_admin,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (StaffPortalRegressionTests, StaffAttendanceModelTests)|INTEGRATED (StaffPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|staff_urls registered in config/urls.py under /api/staff/|StaffProfile model in accounts

FUNC-0045|STAFF|Staff|Staff leave requests & attendance|Leave request/approve, staff absence list|src/pages/StaffOperationsPage.jsx|apps/accounts (StaffLeave, StaffAttendance related views)|via /api/staff/...|super_admin,admin,principal,vice_principal,campus_admin,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (StaffLeave? covered by StaffPortalRegressionTests, StaffAttendanceCorrectionTests)|INTEGRATED (StaffOperationsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|StaffOperationsPage present|staff attendance/leave models in accounts

FUNC-0046|ATTENDANCE|Attendance|Mark attendance (per class roster)|Bulk mark per class-section|src/pages/AttendancePage.jsx|apps/attendance (AttendanceMarkView, AttendanceBulkMarkView; Attendance model)|POST /api/attendance/mark/, /bulk/; GET /api/attendance/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AttendanceModelTests, AttendanceCorrectionModelTests)|INTEGRATED (AttendancePage roster)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Marking = data mutation (no safe test path)|-

FUNC-0047|ATTENDANCE|Attendance|Attendance list/history|List, filter by status/date, history view|AttendancePage.jsx|apps/attendance (AttendanceListView, AttendanceHistoryView)|GET /api/attendance/, /history/|super_admin,admin,principal,academic,teacher,staff|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0048|ATTENDANCE|Attendance|Corrections workflow|Request + list attendance corrections|AttendancePage.jsx|apps/attendance (AttendanceCorrectionListView, AttendanceCorrectionView; AttendanceCorrection model)|GET/POST /api/attendance/corrections/, /{pk}/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AttendanceCorrectionModelTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Present|-

FUNC-0049|ATTENDANCE|Attendance|Summary & monthly views|Attendance summary + monthly aggregates|AttendancePage.jsx|apps/attendance (AttendanceSummaryView, AttendanceMonthlyView)|GET /api/attendance/summary/, /monthly/|super_admin,admin,principal,academic,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Present in attendance/urls.py|-

FUNC-0050|ATTENDANCE|Attendance|Biometric device sync|Biometric device sync endpoint|none (device API)|apps/attendance (BiometricSyncView)|POST /api/attendance/device-sync/|super_admin|IMPLEMENTED|UNVERIFIED_CORRECTNESS|NO TEST|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Route present; device integration unverifiable|-

