module,implementation_status,production_read_only_status,production_working_status,authorization_status,mutation_status,test_status,known_defect,unverified_reason,blocking_reason,evidence,final_status
MOD-11|Communication|IMPLEMENTED|PROVEN (messages, announcements render; New Message/New Announcement controls detected not clicked),NOT_PROVEN (send/broadcast/templates not executed),PASSED (student sees announcements; OBS-3 control visible to student not clicked),MUTATION_NOT_EXECUTED (New Message/Announcement controls observed on student AND staff-role fixtures, never clicked),pytest communication suite (historical); e2e live,None,SMS/email need external provider; send = mutation; template edits unexecuted,N/A,PHASE_78_STEP_5/6/7 matrices + OBS-3,READ_ONLY_PROVEN
MOD-12|Audit & Compliance|IMPLEMENTED|NOT_PROVEN (no Phase 78 role reached audit page; super_admin/admin only),NOT_PROVEN,NOT_RUN (no authenticated session for permitted roles),MUTATION_NOT_EXECUTED (writes automatic via AuditableMixin; no manual controls),test_audit_csv_export + CSP suite (historical),None,No role with access had a live session in Phase 78; audit page not rendered,No Phase 78 session for super_admin/admin (AUTH_TEST_BLOCKED extends),PHASE_77; PHASE_78_STEP_3 (super_admin/admin no valid session),IMPLEMENTED_UNVERIFIED
MOD-13|Library|IMPLEMENTED|PROVEN (library catalog shell; Add Book detected not clicked),NOT_PROVEN (issue/return/reservation not executed),PASSED (principal renders catalog),MUTATION_NOT_EXECUTED (Add Book detected; issue/return = MUTATION_BLOCKED PHASE_73),pytest_library 1 OK (historical); e2e probe,None,Record-level empty; issue/return/reservations = mutation,N/A,PHASE_78_STEP_5,READ_ONLY_PROVEN
MOD-14|Transport|IMPLEMENTED|PROVEN (transport page renders),NOT_PROVEN (vehicle/driver/route/assignment mutations not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED,NO tests (TPR-009 test gap),None,GPS live ping needs device (external UNVERIFIED),N/A,PHASE_78_STEP_5; PHASE_77 MOD-14,READ_ONLY_PROVEN
MOD-15|Inventory|IMPLEMENTED|PROVEN (inventory page renders),NOT_PROVEN (asset/stock movement mutations not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED,pytest_inventory 20 OK + stock isolation (historical); e2e probe,None,Record-level empty; stock movement = mutation,N/A,PHASE_78_STEP_5; PHASE_77 MOD-15,READ_ONLY_PROVEN
MOD-16|Payroll|IMPLEMENTED|PROVEN (payroll page renders),NOT_PROVEN (process/approve/pay not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED (MUTATION_BLOCKED PHASE_73 for processing),pytest_hr 4 OK (payroll overlap, historical); e2e,None,Record-level empty; payslip PDF/export unverified; process/pay = mutation,N/A,PHASE_78_STEP_5; PHASE_73 mutation blockers,READ_ONLY_PROVEN
MOD-17|HR & Staff|IMPLEMENTED|PROVEN (hr, staff, staff_leave_and_attendance render; leave mgmt under HR),NOT_PROVEN (leave actions/employment events absent),PASSED (principal renders; teacher staff-ops not included),MUTATION_NOT_EXECUTED (leave submit detected under HR? not clicked),pytest_hr + staff suites (historical); e2e,TPR-007/015 (duplicate hr urlpatterns; quality only),Record-level empty; leave = mutation,N/A,PHASE_78_STEP_5; PHASE_77 TPR-007/015,READ_ONLY_PROVEN
MOD-18|Reports & Analytics|IMPLEMENTED|PROVEN (reports + report_builder render),NOT_PROVEN (export/backup/CSV-import-commit not executed),PASSED (principal renders catalog + builder),MUTATION_NOT_EXECUTED (export/import-commit = MUTATION_BLOCKED; not exercised),CoreCatalogTests + report payroll views (historical); e2e,TPR-014 (report url-name collisions; quality),100+ report catalog breadth not re-enumerated live; CSV import commit = mutation,N/A,PHASE_78_STEP_5; PHASE_77 TPR-014,READ_ONLY_PROVEN
MOD-19|Search|IMPLEMENTED|NOT_PROVEN (no Phase 78 probe of global search),NOT_PROVEN,NOT_RUN,MUTATION_NOT_EXECUTED,NO tests (TPR-009 test gap; dashboard-side tests only),None,Global search not exercised in Phase 78 reads; no session-specific proof,No dedicated Phase 78 probe; FE search not in required role navigations,PHASE_77 MOD-19; PHASE_78 module sets (search absent),IMPLEMENTED_UNVERIFIED
MOD-20|Documents & Media|IMPLEMENTED|PROVEN (documents page renders; upload control blocked-untested),NOT_PROVEN (upload not executed),PASSED (principal renders vault),MUTATION_NOT_EXECUTED (upload = MUTATION_BLOCKED),Media security/isolation suites (historical); e2e,None,Protected media serving not live-requested in Phase 78; upload = mutation,N/A,PHASE_78_STEP_5; PHASE_77 MOD-20,READ_ONLY_PROVEN
MOD-21|Discipline|IMPLEMENTED|PROVEN (discipline page; Add Incident detected not clicked; 0 incidents),NOT_PROVEN (incident creation not executed),PASSED (principal/teacher render),MUTATION_NOT_EXECUTED (Add Incident control present, not clicked),NO tests (TPR-009 test gap),None,0 records; incident write = mutation,N/A,PHASE_78_STEP_5/6,READ_ONLY_PROVEN
MOD-22|Health Records|IMPLEMENTED|PROVEN (health_records page; New Record detected not clicked; 0 records / 7 clinic profiles),NOT_PROVEN (record creation not executed),PASSED (principal/teacher render; nurse role UI-locked TPR-004),MUTATION_NOT_EXECUTED (New Record control present, not clicked),accounts HealthRecordCampusFromEnrollmentTests (historical); e2e,TPR-004 (frontend /health-records guard omits nurse) OPEN,Record creation = mutation; nurse cannot reach UI,N/A (nurse lockout is FE code gap, not env),PHASE_78_STEP_5/6; PHASE_77 TPR-004,READ_ONLY_PROVEN (nurse sub-role BLOCKED)
MOD-23|Homework|IMPLEMENTED|PROVEN (homework page; New Homework detected not clicked; 0 items),NOT_PROVEN (assignment/submission/grading not executed),PASSED (principal/teacher/student render own-scope),MUTATION_NOT_EXECUTED (New Homework control, not clicked),NO tests (TPR-009 test gap),None,0 items; submit/grade = mutation,N/A,PHASE_78_STEP_5/6/7,READ_ONLY_PROVEN
MOD-24|Hostel|IMPLEMENTED|PROVEN (hostel page; Add detected not clicked; 0 records; "Loading data..." transient),NOT_PROVEN (allocation/vacate not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED (allocation = MUTATION_BLOCKED),hostel suites (historical, now has tests.py); e2e probe,None,Record-level empty; "Loading data..." indicator observed (data-load gap, not defect),N/A,PHASE_78_STEP_5,READ_ONLY_PROVEN
MOD-25|LMS|PARTIALLY_IMPLEMENTED (TPR-008 duplicate/overriding question routes; delete still served by RetrieveUpdateDestroy)|PROVEN (lms page; New Course detected not clicked; 0 courses; student 0 courses available),NOT_PROVEN (course/quiz/attempt mutations not executed),PASSED (role-gated render; student scoped),MUTATION_NOT_EXECUTED (New Course detected; quiz-submit = MUTATION_BLOCKED),NO tests (TPR-009 test gap; TPR-008 route defect not covered),TPR-008 (duplicate question routes; dead QuizQuestionDeleteView; DELETE still served by first-registered RetrieveUpdateDestroyAPIView) OPEN,Quiz question delete view unreachable; 0 content; submission = mutation,N/A,PHASE_78_STEP_5/6/7; PHASE_77_1 revision of TPR-008,READ_ONLY_PROVEN (with TPR-008 noted)
MOD-26|Portals|IMPLEMENTED|PROVEN (teacher/student portal aggregates via dashboard/profile; parent portal NOT reached),NOT_PROVEN,NOT_RUN (no parent session in Phase 78),MUTATION_NOT_EXECUTED,TeacherPortal/StudentPortal/ParentPortal tests (historical); e2e,None,Parent portal not exercised (no parent account/session in Phase 78),N/A,PHASE_78_STEP_6/7 (dashboard/profile); PHASE_78_STEP_3 (no parent session),READ_ONLY_PROVEN (teacher/student views)
MOD-27|White Label|IMPLEMENTED|NOT_PROVEN (branding page super_admin/admin only; staff observed 403 on branding API),NOT_PROVEN,NOT_RUN (no valid super_admin/admin session in Phase 78),MUTATION_NOT_EXECUTED (branding upload = MUTATION_BLOCKED),pytest_white_label 24 OK (historical),None,No permitted-role session in Phase 78; staff 403 on /api/schools/branding/ shows guard works but no read evidence,No Phase 78 session for super_admin/admin (AUTH_TEST_BLOCKED extends),PHASE_78_STEP_3 (super_admin 403, admin demo 400); STEP_7 student 403 branding observed,IMPLEMENTED_UNVERIFIED
MOD-28|Workflow|IMPLEMENTED|PROVEN (workflow_definitions + workflow_approvals render; 0 approvals),NOT_PROVEN (instance actions/approve not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED (Approve workflow detected, never executed),pytest_workflow 21 OK (historical); e2e,None,0 approvals; approve = mutation (MUTATION_NOT_EXECUTED),N/A,PHASE_78_STEP_5,READ_ONLY_PROVEN
MOD-29|Helpdesk|IMPLEMENTED|PROVEN (helpdesk page support tickets shell; New Ticket detected not clicked),NOT_PROVEN (assign/resolve/reopen not executed),PASSED (principal/teacher render; self-service),MUTATION_NOT_EXECUTED (New Ticket control, not clicked),pytest_helpdesk 10 OK (historical); e2e,None,Record-level empty/N/A,PHASE_78_STEP_5/6,READ_ONLY_PROVEN
MOD-30|Visitors|IMPLEMENTED|PROVEN (visitors gate log shell; Check In detected not clicked),NOT_PROVEN (check-in/out not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED (Check In control, not clicked),pytest_visitors 5 OK (historical); e2e,None,0 records; check-in/out = mutation,N/A,PHASE_78_STEP_5,READ_ONLY_PROVEN
MOD-31|Digital IDs|IMPLEMENTED|PROVEN (digital_ids page; Issue Card detected not clicked),NOT_PROVEN (issue/reissue/revoke not executed),PASSED (principal renders),MUTATION_NOT_EXECUTED (Issue Card control, not clicked),pytest_digital_ids 6 OK (historical); e2e,None,Issue/revoke = mutation,N/A,PHASE_78_STEP_5,READ_ONLY_PROVEN
MOD-32|SaaS Platform|IMPLEMENTED|NOT_PROVEN (platform overview/tenants page super_admin/org_admin only),NOT_PROVEN,NOT_RUN,MUTATION_NOT_EXECUTED,pytest_saas 76 OK (historical),None,No super_admin/org_admin session in Phase 78; platform scope,No Phase 78 session for super_admin/org_admin (AUTH_TEST_BLOCKED extends),PHASE_78_STEP_3; PHASE_77 MOD-32,IMPLEMENTED_UNVERIFIED
MOD-33|AI Assistant|IMPLEMENTED|PROVEN (ai_assistant page; availability check renders; role-gated),NOT_PROVEN (ask/insights provider calls not executed; draft-only no send),PASSED (principal/teacher/student render assistant UI),NO_MUTATION_CONTROL (read-only assistant UI; no send),ai role-gate/isolation suites (historical); e2e live,None,LLM provider dependency unverified; answer quality/content not validated,N/A,PHASE_78_STEP_5/6/7,READ_ONLY_PROVEN
MOD-34|Schools & Campuses|IMPLEMENTED|PROVEN (academics, settings, campuses render; module flags/settings save detected not clicked),NOT_PROVEN (year/term/campus/school lifecycle mutations not executed),PASSED (principal renders; student 403 on branding scoped graceful),MUTATION_NOT_EXECUTED (settings save controls not clicked),pytest_schools 14 OK + isolation/media (historical); e2e,None,Record-level settings not validated; save = mutation,N/A,PHASE_78_STEP_5/7,READ_ONLY_PROVEN
