evidence_id,category,target,method,expected,observed,status,classification,source,notes
E-13,anonymous_baseline,/api/auth/me/ (API host),GET no cookies,403 unauthenticated,403 JSON {"detail":...},VERIFIED,EXPECTED_UNAUTHENTICATED,Direct HTTP probe,Anonymous 403 is designed auth gate, not error
E-14,anonymous_baseline,/api/auth/me/ (sms host),GET no cookies,403 unauthenticated,403 JSON,VERIFIED,EXPECTED_UNAUTHENTICATED,Direct HTTP probe via frontend host,Same gate through rewrite
E-15,anonymous_baseline,/api/deploy-test/ (API host),GET no cookies,404 stale deployment artifact,404 text/html,VERIFIED,STALE_DEPLOYMENT_PREDATES_ROUTE,Direct HTTP probe; PHASE_80_STEP_1,Not repaired in this step
E-16,staff_auth,GET /api/auth/me/ (API host) with documented staff session,Playwright context: inject sa_DI-staff.txt cookies then fetch me/,200 with staff identity,STATUS 200; username=DI-EMP-0001; primary_role=staff; primary_institution=Default Institution; must_change_password=true; email_verified=false; memberships=[{role:staff}],VERIFIED,SESSION_VALID_NOW,Node/Playwright probe 2026-09-24 ~03:50 UTC,Same cookie mechanism that returned 403 in Phase 78 Step 8 now returns 200
E-17,staff_auth,GET /api/auth/me/ (sms host) with documented staff session,Playwright context: inject cookies then fetch me/ (same origin),200 with staff identity,STATUS 200; identical identity fields,VERIFIED,SESSION_VALID_NOW,Node/Playwright probe,Consistency across both hosts
E-18,staff_auth,membership roles extraction,GET me/ parse memberships (non-secret),role staff,memberships[0].roles=[{role:staff,role_label:Staff Member}]; institution=Default Institution,VERIFIED,ROLE_CONFIRMED,API parse,Matches Phase 78 Step 8 first-probe memberships=["staff"]
E-19,frontend_shell,https://perfect-foundation-sms.vercel.app/ with staff session,Playwright load page with injected staff cookies; read-only,Authenticated shell renders with staff identity,isLoginPage=false; topbar present; topbar text "Default Institution ... But Staff"; API calls during load all 200 (auth/me, active-institution, modules/current, notifications, active-campus); logout button present (NOT clicked),VERIFIED,SHELL_LOADED,Playwright Chromium probe,Email-verify banner observed (email_verified=false); no mutation controls activated
E-20,safety_audit,Entire step,Review of all actions,No mutation / no logout / no credential use beyond documented fixture,SOURCE_MODIFIED=NO; PRODUCTION_DATA_MUTATED=NO; LOGOUT_PERFORMED=NO; SESSION VALUES PRINTED=NO; MUTATION_WORKFLOWS_EXECUTED=0,VERIFIED,SAFE,Step log,All requests were GET; only fixture used = documented sa_DI-staff.txt
E-21,classification,Synthesis,Combine E-16..E-19,Staff auth proven,Doc staff account authenticates AND me/ confirms staff role,CONFIRMED,STAFF_AUTH_PROVEN,This investigation,Stop after auth proof; no staff route certification in this step
E-22,classification,Synthesis,De-risk false positives,Failed session alone would not prove bad credentials/defect,No failure observed; no over-claim; no route/module claim made,CONFIRMED,STAFF_AUTH_PROVEN,This investigation,Per brief Step 5; me/ proves identity only
