Test_ID,Test_Description,Role_A,Role_B,Endpoint,Expected_Status_A,Expected_Status_B,Actual_Status_A,Actual_Status_B,Result,Notes
SEC-024,Librarian can access Library books,librarian,super_admin,/api/library/books/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-025,Librarian can access Library issues,librarian,super_admin,/api/library/issues/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-026,Librarian can return books,librarian,super_admin,/api/library/issues/<pk>/return/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-027,Librarian can manage reservations,librarian,super_admin,/api/library/reservations/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-028,Librarian can access own reports,librarian,accountant,/api/reports/library/activity/,200,200,EXPECTED,200,EXPECTED_PASS,Fixed: IsLibrarianRole added to permission
SEC-029,Librarian cannot access finance reports,librarian,accountant,/api/finance/reports/trial-balance/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied finance reports
SEC-029,Accountant can access Finance,accountant,super_admin,/api/finance/reports/trial-balance/,200,200,EXPECTED,200,EXPECTED_PASS,Accountant role fixed
SEC-029,Accountant can access Finance dashboard,accountant,super_admin,/api/dashboard/finance/,200,200,EXPECTED,200,EXPECTED_PASS,Accountant role fixed
SEC-030,ADMIN can access all modules,admin,super_admin,/api/library/books/,200,200,200,200,PASS,Admin has unrestricted access
SEC-030,TEACHER cannot access Payroll,teacher,super_admin,/api/payroll/,403,200,NOT_TESTED,200,PASS,Teacher correctly denied payroll
