feature,module,source_implementation,backend_support,frontend_support,automated_test_evidence,production_read_only_evidence,production_mutation_evidence,deployment_evidence,final_certification_status,limitations,evidence_source
Campus/section transfers,STUDENTS,Y,Y,Y,Y (transfer suites historical),PROVEN (list shell),MUTATION_NOT_EXECUTED (transfer not executed),N/A,READ_ONLY_PROVEN,Isolation lifecycle tested (historical); live transfer = write unexecuted,TRACE-0022/0023
Graduation/withdraw/activate lifecycle,STUDENTS,Y,Y,Y,Y (historical),PROVEN (list shell),MUTATION_NOT_EXECUTED (lifecycle actions not executed),N/A,READ_ONLY_PROVEN,Record-level empty; lifecycle writes unexecuted,TRACE-0024
Guardians + parent links,STUDENTS,Y,Y,N (test gap),Y,PROVEN (list shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records; test gap; write unexecuted,TRACE-0025
Student documents,STUDENTS,Y,Y,Y,Y (document isolation historical),PROVEN (documents shell),MUTATION_NOT_EXECUTED (upload blocked),N/A,READ_ONLY_PROVEN,Upload = mutation; media serving unverified live,TRACE-0026
Transfer certificate issue/verify,STUDENTS,Y,Y,Y,Y (transfer_certificate_verify historical),NOT_RUN (issue not executed),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,Issue = write; verify path not exercised,TRACE-0027
Student leaves,STUDENTS,Y,Y,N (test gap),Y,PROVEN (list shell),MUTATION_NOT_EXECUTED (leave submit not executed),N/A,READ_ONLY_PROVEN,0 records; test gap; submit = write,TRACE-0028
Alumni bridge + directory,STUDENTS+ALUMNI,Y,Y,Y,Y (historical),PROVEN (alumni page principal; Add Alumni detected not clicked),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records; alumni = nav module key (not role) per PHASE_77_1 correction,PHASE_78_STEP_5; TRACE-0038
Teacher directory CRUD,TEACHERS,Y,Y,Y,Y (historical teacher regressions; e2e teacher.spec),PROVEN (teachers page; teacher self via profile),MUTATION_NOT_EXECUTED (Add Teacher detected not clicked),N/A,READ_ONLY_PROVEN,0 records; CRUD writes unexecuted,PHASE_78_STEP_5/6; TRACE-0030
Teacher assignments,TEACHERS,Y,Y,Y,Y (historical),PROVEN (assignments page principal),MUTATION_NOT_EXECUTED (assign not executed),N/A,READ_ONLY_PROVEN,0 records; assignment = write,PHASE_78_STEP_5; TRACE-0031
Staff directory CRUD,STAFF,Y,Y,Y,Y (staff suites historical),PROVEN (staff page list shell),MUTATION_NOT_EXECUTED (Add Staff not executed),N/A,READ_ONLY_PROVEN,0 records; CRUD writes unexecuted,PHASE_78_STEP_5; TRACE-0032
Staff leave/attendance ops,STAFF,Y,Y,Y,Y (accounts staff attendance historical),PROVEN (staff_leave_and_attendance under HR; leave mgmt),MUTATION_NOT_EXECUTED (leave submit not executed),N/A,READ_ONLY_PROVEN,Leave submit = write; staff certification BLOCKED (env),PHASE_78_STEP_5 (principal view); TRACE-0033
Attendance marking/bulk,ATTEND,Y,Y,Y,Y (historical),PROVEN (attendance page; Mark controls detected),MUTATION_NOT_EXECUTED (Mark Attendance not clicked),N/A,READ_ONLY_PROVEN,Marking/bulk = write unexecuted,PHASE_78_STEP_5/6; TRACE-0034
Attendance summary/monthly/history,ATTEND,Y,Y,Y,Y (historical),PROVEN (summary views render),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records; read-only cert,PHASE_78_STEP_5/6; TRACE-0035
Attendance corrections,ATTEND,Y,Y,Y,Y (historical),PROVEN (shell),MUTATION_NOT_EXECUTED (correction not executed),N/A,READ_ONLY_PROVEN,Write unexecuted,TRACE-0036
Biometric device sync,ATTEND,Y,P (unverifiable integration),N,P (historical sparse),NOT_RUN (external device),MUTATION_NOT_EXECUTED,N/A,UNVERIFIED,External hardware integration; needs live device + creds; production UNVERIFIED,TRACE-0050
Academic years/terms workflow,SCHOOLS,Y,Y,Y,Y (AcademicYearTermWorkflowApiTests historical),PROVEN (academics page renders),MUTATION_NOT_EXECUTED (year/term create not executed),N/A,READ_ONLY_PROVEN,Record-level empty; workflow writes unexecuted,PHASE_78_STEP_5; TRACE-0037
Classes/sections/units/subjects,SCHOOLS,Y,Y,Y,Y (historical),PROVEN (academics renders),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records; writes unexecuted,TRACE-0038
Campus CRUD,SCHOOLS,Y,Y,Y,Y (historical),PROVEN (campuses page renders),MUTATION_NOT_EXECUTED (campus create not executed),N/A,READ_ONLY_PROVEN,Write unexecuted,PHASE_78_STEP_5; TRACE-0039
School lifecycle pause/activate/archive,SCHOOLS,Y,Y,Y,Y (TenantIsolation historical),PROVEN (settings shell),MUTATION_NOT_EXECUTED (lifecycle actions not executed),N/A,READ_ONLY_PROVEN,Write unexecuted; tenant scope,TRACE-0040
Module enablement flags,SCHOOLS,Y,Y,Y,Y (ModuleEnforcementTests historical),PROVEN (settings page renders),MUTATION_NOT_EXECUTED (flag save not executed),N/A,READ_ONLY_PROVEN,Save = write unexecuted,PHASE_78_STEP_5; TRACE-0043
School branding,SCHOOLS,Y,Y,Y,Y (historical),NOT_PROVEN (branding page super_admin/admin only; student 403 observed = guard works),MUTATION_NOT_EXECUTED (upload blocked),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,403-on-student confirms authorization; no permitted-role session in Phase 78 (super_admin/admin),PHASE_78_STEP_7; TRACE-0041
Fee categories/structures/overrides,FINANCE,Y,Y,Y,Y (finance suites historical),PROVEN (finance page; Add Fee Structure detected),MUTATION_NOT_EXECUTED (Add not clicked),N/A,READ_ONLY_PROVEN,0 records; writes unexecuted,PHASE_78_STEP_5; TRACE-0044
Invoices (single/bulk/installments),FINANCE,Y,Y,Y,Y (PaymentIntegrityTests historical),PROVEN (invoices read 200-empty student+principal),MUTATION_NOT_EXECUTED (create blocked),N/A,READ_ONLY_PROVEN,0 records; create = write unexecuted,PHASE_78_STEP_5/7; TRACE-0045
Payments + receipts HTML/PDF,FINANCE,Y,Y,Y,Y (ReceiptTests historical),PROVEN (payments read 200-empty),MUTATION_NOT_EXECUTED (pay/reversal blocked),N/A,READ_ONLY_PROVEN,Receipt HTML/PDF output not generated; pay = write unexecuted,TRACE-0046
Payment gateways (Stripe/JazzCash/EasyPaisa),FINANCE,Y,Y,Y,Y (JazzCashCheckoutSecurityTests historical),NOT_RUN (live creds unavailable),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,External provider; live creds; checkout = write; UNVERIFIED live,TRACE-0047
Outstanding balances/aging,FINANCE,Y,Y,Y,Y (ReceivablesAgingApiTests historical),PROVEN (read 200-empty),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records,TRACE-0048
Concessions/fines/adjustments/refunds,FINANCE,Y,Y,Y,Y (historical),PROVEN (finance shell),MUTATION_NOT_EXECUTED (mutations blocked),N/A,READ_ONLY_PROVEN,Writes unexecuted,TRACE-0049
Journal entries/expenses,FINANCE,Y,Y,Y,Y (historical),PROVEN (finance shell),MUTATION_NOT_EXECUTED (post blocked),N/A,READ_ONLY_PROVEN,Write unexecuted,TRACE-0050
Bank reconciliation,FINANCE,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; write unexecuted,TRACE-0051
Budgets,FINANCE,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; write unexecuted,TRACE-0052
Late fees apply/preview/cron,FINANCE,Y,Y,Y,Y (historical),PROVEN (shell),MUTATION_NOT_EXECUTED (apply blocked),N/A,READ_ONLY_PROVEN,Cron apply = write unexecuted,TRACE-0053
Finance reports (trial balance etc),FINANCE,Y,Y,N (test gap),Y,PROVEN (reports shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; 0 records,TRACE-0054
Exam CRUD + subjects/schedule/seating,EXAMS,Y,Y,Y,Y (exam schedule/seating tests historical),PROVEN (exams page renders all roles),MUTATION_NOT_EXECUTED (New exam not clicked),N/A,READ_ONLY_PROVEN,Writes unexecuted; 0 records,PHASE_78_STEP_5/6/7; TRACE-0055
Marks entry + results + gradebook,EXAMS,Y,Y,Y,Y (pytest_exams2 74 OK historical),PROVEN (Marks Entry panel renders),MUTATION_NOT_EXECUTED (Enter Marks not clicked),N/A,READ_ONLY_PROVEN,Historic flaky 403!=400 reran green (no persistent defect); entry = write unexecuted,PHASE_78_STEP_6; TRACE-0056
Grade amendments (approve/reject),EXAMS,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED (amend not executed),N/A,READ_ONLY_PROVEN,Test gap; amend = write,TRACE-0057
Report cards list/pdf/status/batch,REPORTCARDS,Y,Y,Y,Y (ReportCardPdfTests historical),PROVEN (report_cards page teacher read/search),MUTATION_NOT_EXECUTED (publish/lock not executed),N/A,READ_ONLY_PROVEN,PDF content unverified; status/batch writes unexecuted,PHASE_78_STEP_5/6; TRACE-0058
Grade scales,REPORTCARDS,Y,Y,Y,Y (historical),PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Write unexecuted,TRACE-0059
Result lifecycle lock/publish,REPORTCARDS,Y,Y,Y,Y (ResultLifecycleApiTests historical),PROVEN (shell),MUTATION_NOT_EXECUTED (lock/publish blocked),N/A,READ_ONLY_PROVEN,Write unexecuted,TRACE-0060
Timetable periods/entries,TIMETABLE,Y,Y,Y,Y (pytest_timetable 26 OK historical),PROVEN (timetable page all roles; My Timetable),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 periods; writes unexecuted,PHASE_78_STEP_5/6/7; TRACE-0061
Timetable conflicts/generate,TIMETABLE,Y,Y,Y,Y (TimetableConflictRejectionTests historical),PROVEN (shell),MUTATION_NOT_EXECUTED (generate blocked),N/A,READ_ONLY_PROVEN,Auto-generation = write unexecuted,TRACE-0062
Events CRUD + RSVP,EVENTS,Y,Y,Y,Y (EventTests historical),PROVEN (events page all roles; Add Event detected),MUTATION_NOT_EXECUTED (Add/RSVP not clicked),N/A,READ_ONLY_PROVEN,0 events; create/RSVP = write unexecuted,PHASE_78_STEP_5/6/7; TRACE-0063
Announcements (role-targeted),COMM,Y,Y,Y,Y (AnnouncementAudienceFilteringTests historical; e2e),PROVEN (announcements page all roles; control visible to student),MUTATION_NOT_EXECUTED (New Announcement detected not clicked),N/A,READ_ONLY_PROVEN,OBS-3: student sees New Announcement control; not clicked (mutation never executed),PHASE_78_STEP_5/6/7; TRACE-0064
Internal messaging + threads,COMM,Y,Y,Y,Y (MessageIsolationTests historical; e2e),PROVEN (messages page all roles; New Message detected),MUTATION_NOT_EXECUTED (New Message not clicked),N/A,READ_ONLY_PROVEN,Send = write unexecuted,PHASE_78_STEP_5/6/7; TRACE-0065
Notifications + read-all,COMM,Y,Y,Y,Y (NotificationQueueTests historical),PROVEN (notifications panel renders),MUTATION_NOT_EXECUTED (read-all not clicked),N/A,READ_ONLY_PROVEN,Read-all = write state change unexecuted,TRACE-0066
SMS broadcast + logs,COMM,Y,Y,Y,Y (historical),NOT_RUN (provider),MUTATION_NOT_EXECUTED (send blocked),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,External provider; send = write; UNVERIFIED live,TRACE-0067
Email broadcast + logs,COMM,Y,Y,Y,Y (EmailLogIsolationTests historical),NOT_RUN (provider),MUTATION_NOT_EXECUTED (send blocked),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,External provider; send = write; UNVERIFIED live,TRACE-0068
Message templates + preview,COMM,Y,Y,Y,Y (historical),PROVEN (templates shell),MUTATION_NOT_EXECUTED (template edit not executed),N/A,READ_ONLY_PROVEN,0 templates; edit = write,TRACE-0069
Fee reminder/notification crons,COMM,Y,Y,Y,Y (historical),NOT_RUN (cron),MUTATION_NOT_EXECUTED (cron not triggered),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,Scheduled jobs not triggered live; write flow untested,TRACE-0070
Audit log view + CSV export,AUDIT,Y,Y,Y,Y (test_audit_csv_export historical),NOT_PROVEN (audit page not reached in Phase 78; super_admin/admin only),MUTATION_NOT_EXECUTED (export= read; not run),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,No permitted-role session in Phase 78 (AUTH_TEST_BLOCKED extends),TRACE-0071
Library books + copies,LIBRARY,Y,Y,Y,Y (BookCampusIsolationTests historical),PROVEN (library catalog shell principal; Add Book detected),MUTATION_NOT_EXECUTED (Add not clicked),N/A,READ_ONLY_PROVEN,0 records; writes unexecuted,PHASE_78_STEP_5; TRACE-0072
Library issue/return,LIBRARY,Y,Y,N (test gap),Y (FE integrated),PROVEN (catalog shell),MUTATION_NOT_EXECUTED (issue/return MUTATION_BLOCKED PHASE_73),N/A,READ_ONLY_PROVEN,Mutation blocked by policy (PHASE_73); write never executed,TRACE-0073
Library reservations,LIBRARY,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED (MUTATION_BLOCKED PHASE_73),N/A,READ_ONLY_PROVEN,Mutation blocked; write never executed,TRACE-0074
Library members/settings/reports,LIBRARY,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap,TRACE-0075
Transport vehicles/drivers/routes,TRANSPORT,Y,Y,N (no tests TPR-009),Y,PROVEN (transport page renders principal),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,No tests (TPR-009); writes unexecuted,PHASE_78_STEP_5; TRACE-0076
Transport assignments,TRANSPORT,Y,Y,N (no tests),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,No tests; assign = write,TRACE-0077
GPS ping/live,TRANSPORT,Y,P (needs device),N,Y,NOT_RUN (external device),MUTATION_NOT_EXECUTED,N/A,UNVERIFIED,External device; production UNVERIFIED,TRACE-0078
Inventory categories/suppliers/assets,INVENTORY,Y,Y,Y,Y (pytest_inventory 20 OK historical),PROVEN (inventory page renders),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Writes unexecuted,PHASE_78_STEP_5; TRACE-0079
Asset assignments,INVENTORY,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; write unexecuted,TRACE-0080
Stock levels/movements/summary,INVENTORY,Y,Y,Y,Y (StockEngine/IsolationTests historical),PROVEN (shell),MUTATION_NOT_EXECUTED (movement blocked),N/A,READ_ONLY_PROVEN,0 records; movement = write,TRACE-0081
Payroll salary structures,PAYROLL,Y,Y,Y,Y (SalaryStructurePayrollTests historical),PROVEN (payroll page renders principal),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records; writes unexecuted,PHASE_78_STEP_5; TRACE-0082
Payroll records lifecycle + payslips,PAYROLL,Y,Y,Y,Y (PayrollLifecycle/ExportTests historical),PROVEN (payroll shell),MUTATION_NOT_EXECUTED (process MUTATION_BLOCKED PHASE_73),N/A,READ_ONLY_PROVEN,Process/pay = write blocked; payslip PDF unverified,TRACE-0083
HR departments/designations/employees,HR,Y,Y,Y,Y (HRModel/EmployeeCreationTests historical),PROVEN (hr page renders),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Writes unexecuted,PHASE_78_STEP_5; TRACE-0084
HR contracts/documents/workload/reviews,HR,Y,Y,Y,Y (historical),PROVEN (document/contract shell; TPR-007 URLs),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,TPR-007/015 duplicate urls (quality); writes unexecuted,TRACE-0085
HR leave management,HR,Y,Y,N (test gap),Y,PROVEN (leave mgmt shell),MUTATION_NOT_EXECUTED (leave action not executed),N/A,READ_ONLY_PROVEN,Test gap; leave = write,TRACE-0086
HR compensation (allowance/deduction/bonus/overtime/loan/advance/salary revision),HR,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; writes unexecuted,TRACE-0087
HR payroll periods,HR,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; period ops = write,TRACE-0088
HR recruitment (positions/candidates/applications/interviews),HR,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; writes unexecuted,TRACE-0089
HR exit clearances,HR,Y,Y,N (test gap),Y,PROVEN (shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Test gap; clearance = write,TRACE-0090
Reports catalog (100+ endpoints),REPORTS,Y,Y,Y,Y (CoreCatalogTests historical),PROVEN (reports page renders; 100+ surface),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,TPR-014 url-name collisions (quality, OPEN); catalog breadth static,PHASE_78_STEP_5; TRACE-0091
Report builder,REPORTS,Y,Y,N (test gap),Y,PROVEN (report_builder page renders),MUTATION_NOT_EXECUTED (builder save not executed),N/A,READ_ONLY_PROVEN,Test gap; save = write,PHASE_78_STEP_5; TRACE-0092
Data export + backup,REPORTS,Y,Y,N (test gap),Y,PROVEN (export shell),MUTATION_NOT_EXECUTED (export blocked),N/A,READ_ONLY_PROVEN,Test gap; export = read but write-to-disk/state; unexecuted,TRACE-0093
CSV import (2-phase),REPORTS,Y,Y,N (test gap),Y,PROVEN (import UI shell),MUTATION_NOT_EXECUTED (commit MUTATION_BLOCKED PHASE_73),N/A,READ_ONLY_PROVEN,2-phase import commit = write; blocked,TRACE-0094
Global search,SEARCH,Y,Y,P (dashboard-side test only TPR-009),Y,NOT_RUN (search not exercised Phase 78),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,No dedicated search suite (TPR-009); no Phase 78 probe,TRACE-0095
Document vault,DOCUMENTS,Y,Y,Y,Y (document isolation historical),PROVEN (documents page renders),MUTATION_NOT_EXECUTED (upload blocked),N/A,READ_ONLY_PROVEN,Upload = write unexecuted; media serving unverified live,PHASE_78_STEP_5; TRACE-0096
Discipline incidents,DISCIPLINE,Y,Y,N (no tests TPR-009),Y,PROVEN (discipline page; Add Incident detected),MUTATION_NOT_EXECUTED (Add not clicked),N/A,READ_ONLY_PROVEN,0 incidents; no tests; write unexecuted,PHASE_78_STEP_5/6; TRACE-0097
Health records,HEALTH,Y,Y,P (cross-app test only TPR-009),Y (FE integrated),PROVEN (health_records page principal+teacher; New Record detected not clicked),MUTATION_NOT_EXECUTED (create blocked),N/A,READ_ONLY_PROVEN,TPR-004 nurse UI lockout (OPEN): nurse role cannot reach; record create = write unexecuted,PHASE_78_STEP_5/6; TRACE-0098
Homework/submissions/grading,HOMEWORK,Y,Y,N (no tests TPR-009),Y,PROVEN (homework page all roles; New Homework detected),MUTATION_NOT_EXECUTED (New not clicked),N/A,READ_ONLY_PROVEN,0 items; no tests; submit/grade = write unexecuted,PHASE_78_STEP_5/6/7; TRACE-0099
Hostel hostels/rooms/allocations,HOSTEL,Y,Y,Y,Y (hostel suites historical),PROVEN (hostel page; Add detected not clicked; "Loading data..."),MUTATION_NOT_EXECUTED (allocation blocked),N/A,READ_ONLY_PROVEN,Record-level empty with Loading-data indicator (data-load gap, not defect); writes unexecuted,PHASE_78_STEP_5; TRACE-0100
LMS courses/lessons/quizzes/progress,LMS,Y,P (TPR-008 URL override),N (no tests TPR-009),Y,PROVEN (lms page all roles; New Course detected),MUTATION_NOT_EXECUTED (New Course not clicked; quiz submit blocked),N/A,READ_ONLY_PROVEN,TPR-008 duplicate/overriding question routes + dead QuizQuestionDeleteView (DELETE still served by first-registered RUD view) OPEN; no tests; writes unexecuted,PHASE_78_STEP_5/6/7; TRACE-0101
Portals (teacher/student/parent),PORTAL,Y,Y,Y,Y (Teacher/Student/ParentPortalTests historical),PROVEN (teacher+student portal aggregates via dashboard/profile),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN (teacher/student views),Parent portal NOT reached (no parent session Phase 78),PHASE_78_STEP_6/7; TRACE-0102
White label branding/domains/audit,WHITE_LABEL,Y,Y,Y,Y (pytest_white_label 24 OK historical),NOT_PROVEN (super_admin/admin only; no Phase 78 session),MUTATION_NOT_EXECUTED (upload blocked),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,No permitted-role session in Phase 78 (AUTH_TEST_BLOCKED extends),TRACE-0103
Workflow definitions/instances/approvals,WORKFLOW,Y,Y,Y,Y (WorkflowEngine/ApiTests historical),PROVEN (definitions+approvals pages principal; 0 approvals),MUTATION_NOT_EXECUTED (Approve detected never executed),N/A,READ_ONLY_PROVEN,0 approvals; approve = write unexecuted,PHASE_78_STEP_5; TRACE-0104/0105
Helpdesk tickets (staff + self-service),HELPDESK,Y,Y,Y,Y (HelpdeskStaff/SelfServiceTests historical),PROVEN (helpdesk page principal+teacher; New Ticket detected),MUTATION_NOT_EXECUTED (New Ticket not clicked),N/A,READ_ONLY_PROVEN,Resolve/assign = write unexecuted,PHASE_78_STEP_5/6; TRACE-0106/0107
Visitor check-in/out/stats,VISITORS,Y,Y,Y,Y (GateTests historical),PROVEN (visitors page principal; Check In detected),MUTATION_NOT_EXECUTED (Check In not clicked),N/A,READ_ONLY_PROVEN,0 records; check-in/out = write unexecuted,PHASE_78_STEP_5; TRACE-0108
Digital ID cards issue/revoke/payload,DIGITAL_IDS,Y,Y,Y,Y (DigitalCardTests historical),PROVEN (digital_ids page principal; Issue Card detected),MUTATION_NOT_EXECUTED (Issue not clicked),N/A,READ_ONLY_PROVEN,Payload/QR unverified; issue/revoke = write unexecuted,PHASE_78_STEP_5; TRACE-0109
SaaS feature flags,SAAS,Y,Y,Y,Y (FeatureFlagServiceTests historical),NOT_PROVEN (super_admin/org_admin only),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,No Phase 78 super_admin/org_admin session (AUTH_TEST_BLOCKED extends),TRACE-0110
