Role,Account,Module,Expected_Access,Auth_Me,Menu_Visible,Page_Load,API_Status,Data_Access,Tenant_Scope,Campus_Scope,Authorization_Result,Classification,Evidence_ID,Notes
STAFF,sa_DI-staff.txt,Students,YES,200,YES,200,200,YES,Inst 1 (Default),Campus 7,PASS,ROLE_MODULE_ACCESS_PASS,E25,
STAFF,sa_DI-staff.txt,Finance,YES,200,YES,200,200,YES,Inst 1 (Default),Campus 7,PASS,ROLE_MODULE_ACCESS_PASS,E26,Dashboard finance only
STUDENT,sa_SA-ST-0001.txt,Dashboard,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E27,
STUDENT,sa_SA-ST-0001.txt,Students,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E28,
STUDENT,sa_SA-ST-0001.txt,Finance,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E29,Dashboard finance only
STUDENT,sa_SA-ST-0001.txt,Attendance,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E30,
STUDENT,sa_SA-ST-0001.txt,Exams,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E31,
LIBRARIAN,SA-EMP-00011,Library,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,FAIL,ROLE_AUTHORIZATION_DEFECT,E32,Account has 'staff' role not 'librarian'; no session cookie created
LIBRARIAN,SA-EMP-00011,Dashboard,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,FAIL,ROLE_AUTHORIZATION_DEFECT,E33,No session cookie created (must_change_password=True)
LIBRARIAN,SA-EMP-00011,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,FAIL,ROLE_AUTHORIZATION_DEFECT,E34,auth/me returns 403 despite successful login
ACCOUNTANT,DEG-EMP-00031,Finance,YES,403,NO,403,403,NO,Inst 1 (Default),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E35,No session cookie created (must_change_password=True)
ACCOUNTANT,DEG-EMP-00031,Auth,YES,403,NO,403,403,NO,Inst 1 (Default),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E36,No session cookie created
TEACHER2,SA-EMP-0003,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E37,No session cookie created
TEACHER3,SA-EMP-0004,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E38,No session cookie created
STUDENT2,SA-ST-0002,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E39,No session cookie created
STUDENT3,SA-ST-0003,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E40,No session cookie created
GUARD,SA-EMP-00031,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E41,No session cookie created
ADMIN_OFFICER,SA-EMP-00041,Auth,YES,403,NO,403,403,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E42,No session cookie created
NURSE,SA-EMP-0002,Health,YES,400,NO,N/A,N/A,NO,Inst 4 (Springfield),N/A,NOT_CERTIFIED,ACCOUNT_UNAVAILABLE,E43,Requires school_code to login
