PHASE 77 - STEP 8: MODULE DEEP AUDIT
=====================================
Phase: 77
Date: 2026-09-24
Method: Deep audit of every module: frontend page(s), backend app(s), API prefix, models, roles, functions, test coverage, module status, mutation exposure. Module classification follows Phase 75 taxonomy (IMPLEMENTED_UNVERIFIED primary; MUTATION_BLOCKED where writes required; AUTH_TEST_BLOCKED is the environment blocker).

Columns:
module_key | module_name | frontend_pages | backend_apps | api_prefixes | model_count | core_functions | roles | test_files | test_status (historical) | module_status | production_evidence | notes
MOD-04|Teachers|TeachersPage, AssignmentsPage, ProfilePage|apps/teachers|/api/teachers/|2 models (Teacher, TeacherAssignment)|Teacher CRUD, self view, assignments|super_admin,admin,principal,academic; teacher self|2 files: tests.py, test_phase_p5_? (teacher covered in accounts regressions)|No standalone pytest_teachers log (historical pytest_teacher failed on wrong module name - resolved)|IMPLEMENTED_UNVERIFIED|TeacherAPIRegressionTests, TeacherDetailRegressionTests|-

MOD-05|Attendance|AttendancePage, StaffOperationsPage (staff)|apps/attendance, apps/accounts (StaffAttendance)|/api/attendance/, /api/staff/|5 models (Attendance, AttendanceCorrection; StaffAttendance, StaffAttendanceCorrection, StaffLeave)|Mark/bulk mark, history, corrections, summary/monthly, device sync, absence cron|super_admin,admin,principal,academic,teacher,staff|attendance 1 file (tests.py); accounts staff tests|pytest access+accounts cover staff attendance|IMPLEMENTED_UNVERIFIED|AttendanceModelTests, AttendanceCorrectionModelTests|Marking = MUTATION_BLOCKED; staff attendance/leave mutations blocked

MOD-06|Finance & Payments|FinancePage, BulkFinancePage, StudentFeesPage|apps/finance|/api/finance/|21 models (NumberSequence, FeeCategory, FeeStructure, Invoice, InvoiceItem, Payment, PaymentReversal, Account, JournalEntry, JournalLine, BankAccount, BankReconciliation, Budget, BudgetLine, Expense, Concession, Fine, Adjustment, PaymentRefund, StudentFeeOverride)|Categories/structures, invoices+billing, payments+receipts (HTML/PDF), gateways (Stripe/JazzCash/EasyPaisa), outstanding, concessions/fines/adjustments/refunds, journal+expenses, bank reconciliation, budgets, late fees, finance reports|super_admin,admin,principal,academic,accountant|2 files: tests.py, test_phase_p4_aging|pytest_finance: 64 OK; pytest_inventory, others OK|IMPLEMENTED_UNVERIFIED|FinanceModelTests, PaymentIntegrityTests, ReceiptTests, Concession/Fine/Adjustment/Refund tests, JazzCashCheckoutSecurityTests, ReceivablesAgingApiTests|Nearly all writes MUTATION_BLOCKED (payments, invoices, reversals); gateways need live creds

MOD-07|Exams & Results|ExamsPage, MarksEntryPanel, ManageSubjects/Schedule/SeatingPanels, ExamFormModal|apps/exams|/api/exams/|7 models (Exam, ExamSubject, StudentResult, PracticalResult, ExamSchedule, ExamSeating, GradeAmendment)|Exam CRUD, subjects, schedule, seating (bulk), marks entry, results, practicals, gradebook, amendments|super_admin,admin,principal,academic,teacher|6 files: tests.py, test_cross_school, test_exam_management, test_exam_schedule, test_marks_grades, test_tenant_exam_isolation|pytest_exams: 74 (1 failure 403!=400) -> pytest_exams2: 74 OK|IMPLEMENTED_UNVERIFIED|Extensive suite: mark calc, grade boundaries, GPA, seating conflicts, tenant isolation|Marks entry, results, amendments = MUTATION_BLOCKED; 1 historical flaky assertion re-ran green (no persistent defect)

MOD-08|Report Cards|ReportCardsPage|apps/reportcards, apps/exams (grades)|/api/report-cards/|5 models (ReportCard, ReportCardSubject, GradeScale, GradeBand, GradeAmendment)|Report card list/detail/pdf/status/batch, grade scales, result lifecycle (lock)|super_admin,admin,principal,academic,teacher|3 files: tests.py, test_isolation, test_result_lifecycle|pytest_reportcards: 21 OK|IMPLEMENTED_UNVERIFIED|ReportCardPdfTests, ResultLifecycleApiTests|Publishing/locking = MUTATION_BLOCKED

MOD-09|Timetable|TimetablePage|apps/timetable|/api/timetable/|2 models (Period, TimetableEntry)|Periods, entries, conflict detection, auto-generation|super_admin,admin,principal,academic,teacher,staff,student,parent|2 files: tests.py, test_phase7_isolation|pytest_timetable: 26 OK|IMPLEMENTED_UNVERIFIED|TimetableConflictRejectionTests|Generation = MUTATION_BLOCKED

MOD-10|Events|EventsPage|apps/events|/api/events/|3 models (Event, EventAudience, EventRSVP)|Event CRUD, audience targeting, RSVP|ANY authenticated|1 file tests.py|pytest_events: 4 OK|IMPLEMENTED_UNVERIFIED|EventTests (CRUD, audit, published-only)|Editing = MUTATION_BLOCKED

MOD-11|Communication|AnnouncementsPage, MessagesPage, SMSPage, TemplatesPage, NotificationsPanel|apps/communication|/api/communication/|9 models (Message, Announcement, Notification, SMSLog, NotificationPreference, NotificationDispatch, EmailLog, MessageTemplate, QueuedNotification)|Announcements, messages+threads, notifications, SMS/email broadcast+logs, templates+preview, fee reminders, notification processing crons|ALL (announcements/messages/notifications); super_admin,admin for SMS/email/templates|3 files: tests.py, test_announcement_audience, test_phase7_isolation|pytest communication suite covered in historical logs|IMPLEMENTED_UNVERIFIED|AnnouncementAudienceFilteringTests, NotificationQueueTests, MessageIsolationTests, EmailLogIsolationTests|Sending SMS/email = external+ MUTATION_BLOCKED; role-targeted audience tested

MOD-12|Audit & Compliance|AuditLogsPage|apps/audit|/api/audit/, /api/csp-report/|2 models (AuditLog, CSPViolation)|Audit log list/actions/CSV export, CSP violation collection|super_admin,admin (view); app-wide (write)|4 files: test_audit_csv_export, test_cleanup_csp_violations, test_csp_reporting, test_phase9_audit|pytest phase9 logs OK|IMPLEMENTED_UNVERIFIED|AuditCsvExportTests, CSPViolationReportingTests|Read-only module; writes automatic via AuditableMixin

MOD-13|Library|LibraryPage|apps/library|/api/library/|4 models (Book, BookCopy, BookIssue, BookReservation)|Book+copies CRUD, issue/return, reservations (fulfill/cancel), members, settings, reports, deploy-test|super_admin,admin,principal,academic,accountant,hr,librarian|1 file tests.py|pytest_library: 1 OK|IMPLEMENTED_UNVERIFIED|BookCampusIsolationTests|Issue/return + reservations = MUTATION_BLOCKED (PHASE_73 explicit); library has its own deploy-test endpoint

MOD-14|Transport|TransportPage|apps/transport|/api/transport/|6 models (Vehicle, Driver, Route, RouteStop, TransportAssignment, VehicleLocationLog)|Vehicles/drivers/routes CRUD, assignments, GPS ping/live|super_admin,admin,principal,academic,accountant,hr|NO TESTS|pytest transport absent|IMPLEMENTED_UNVERIFIED|No transport tests.py (test gap TPR)|Assignments, GPS pings = MUTATION_BLOCKED

MOD-15|Inventory|InventoryPage|apps/inventory|/api/inventory/|7 models (AssetCategory, Supplier, Asset, AssetAssignment, MaintenanceRecord, StockLevel, StockMovement)|Categories/suppliers/assets, assignments, maintenance, stock levels/movements/summary|super_admin,admin,principal,academic,accountant,hr|2 files: tests.py, test_stock_tenant_isolation|pytest_inventory: 20 OK|IMPLEMENTED_UNVERIFIED|StockEngineTests, StockMovementTenantIsolationTests, AssetCampusIsolationTests|Stock movement = MUTATION_BLOCKED

MOD-16|Payroll|PayrollPage|apps/payroll, apps/hr (PayrollPeriod)|/api/payroll/, /api/hr/payroll-periods/|7 models (SalaryStructureComponent, SalaryStructure, PayrollRecord, Payslip, SalaryComponentTemplate; PayrollPeriod)|Salary structures (6 calc types), records lifecycle (process/approve/pay), payslips (HTML/PDF), bank file export|super_admin,admin,principal,academic,accountant,hr|1 file tests.py|pytest_hr: 4 OK (payroll overlap); pytest_payroll log absent|IMPLEMENTED_UNVERIFIED|SalaryStructurePayrollTests, PayrollLifecycleTests, PayrollExportTests|Payroll processing/payment = MUTATION_BLOCKED (PHASE_73 explicit)

MOD-17|HR & Staff|HRPage, StaffPage, StaffOperationsPage|apps/hr, apps/accounts|/api/hr/, /api/staff/|26 hr models (Department, Designation, Employee, EmploymentContract, EmployeeDocument, WorkloadAssignment, PerformanceReview, EmploymentEvent, LeaveType, LeavePolicy, LeaveBalance, LeaveRequest, Allowance, Deduction, Bonus, Overtime, Loan, Advance, SalaryRevision, PayrollPeriod, ExitClearance, ClearanceItem, JobPosition, Candidate, Application, Interview)|Departments/designations/employees, contracts/documents/workload/reviews, leave mgmt, compensation components, payroll periods, recruitment (positions/candidates/applications/interviews), exit clearances|super_admin,admin,principal,vice_principal,campus_admin,hr,accountant|1 file tests.py|pytest_hr: 4 OK|IMPLEMENTED_UNVERIFIED|HRModelTests, HREmployeeCreationTests, StaffPortalRegressionTests|Leave actions, employment events = MUTATION_BLOCKED; duplicate URL patterns in hr/urls.py (TPR)

MOD-18|Reports & Analytics|ReportsPage, ReportBuilderPage, ExportPage, DataImportPage|apps/reports|/api/reports/|9 models (ReportCategory, ReportDefinition, SavedReport, ReportTemplate, ScheduledReport, ReportAuditLog, CustomReportDataSource, CustomReport)|100+ report endpoint catalog, report builder, saved templates, data export/backup, CSV import (preview/commit), weekly email cron, system health|super_admin,admin,principal,academic,accountant,hr (RO); export/import = super_admin,admin|2 files: tests.py, test_payroll_report_views|pytest_reports log absent (covered in phase summary); CoreCatalogTests present|IMPLEMENTED_UNVERIFIED|CoreCatalogTests, CampusScopedUserTests, PayrollReportViewsTests|CSV import commit = MUTATION_BLOCKED

MOD-19|Search|search UI (Settings/global)|apps/search|/api/search/|0 models|Global cross-entity search|ALL|NO TESTS (search isolation covered in dashboard tests)|N/A|IMPLEMENTED_UNVERIFIED|SearchFilterPaginationTests, SearchPaginationSecurityTests (in dashboard)|Test gap: no dedicated search suite (TPR)

MOD-20|Documents & Media|DocumentsPage, ProfilePage (downloads)|apps/documents, apps/schools (media), apps/students (StudentDocument)|/api/documents/, /api/students/documents/, /media/|StudentDocument (students), EmployeeDocument (hr); documents app has no models|Document vault upload/list/search, protected media serving, branding media|super_admin,admin,principal,academic,accountant,hr|Isolation tests in students/test_phase7_documents + schools/test_media_views|pytest_students coverage includes documents|IMPLEMENTED_UNVERIFIED|MediaFileSecurityTests, DocumentUploadCrossSchoolDeniedTests, ProtectedMediaAccessTests|Upload = MUTATION_BLOCKED

MOD-21|Discipline|DisciplinePage|apps/discipline|/api/discipline/|2 models (Incident, DisciplinaryAction)|Incident CRUD, actions, summary|super_admin,admin,principal,vice_principal,campus_admin,teacher|NO TESTS|N/A|IMPLEMENTED_UNVERIFIED|No discipline tests (test gap TPR)|Incident write = MUTATION_BLOCKED

MOD-22|Health Records|HealthRecordsPage|apps/health|/api/health-records/|1 model (HealthRecord)|Checkup/illness/injury/allergy/vaccination/screening records|super_admin,admin,principal,vice_principal,campus_admin,teacher; nurse NOT in route guard (TPR-1)|NO TESTS (health has no tests.py)|N/A|IMPLEMENTED_UNVERIFIED|HealthRecordCampusFromEnrollmentTests (accounts)|Record creation = MUTATION_BLOCKED

MOD-23|Homework|HomeworkPage|apps/homework|/api/homework/|2 models (Homework, Submission)|Assignments, submissions, grading|super_admin,admin,principal,academic,teacher,student,parent|NO TESTS|N/A|IMPLEMENTED_UNVERIFIED|No homework tests (test gap TPR)|Submission/grading = MUTATION_BLOCKED

MOD-24|Hostel|HostelPage|apps/hostel|/api/hostel/|3 models (Hostel, Room, Allocation)|Hostels/rooms/allocations + vacate|super_admin,admin,principal,vice_principal,campus_admin|1 file tests.py|pytest_hostel historical 0 tests (resolved - now has tests.py)|IMPLEMENTED_UNVERIFIED|HostelRoomSelectorTests, HostelRoomSecurityTests, HostelAddRoomEndToEndTests, AllocationActiveSchoolPolicyTests|Allocation = MUTATION_BLOCKED

MOD-25|LMS|LMSPage|apps/lms|/api/lms/|6 models (Course, Lesson, LessonCompletion, Quiz, Question, QuizAttempt)|Courses, lessons, completion, quizzes, MCQ attempts, progress|super_admin,admin,principal,academic,teacher,student|NO TESTS|pytest_lms: 0 tests|IMPLEMENTED_UNVERIFIED|No lms tests (test gap TPR); duplicate/overriding URL patterns observed (TPR)|Quiz submission = MUTATION_BLOCKED

MOD-26|Portals|ParentPortalPage, ProfilePage, Dashboard (student/teacher views)|apps/portal|/api/portal/|0 models|Teacher/student/parent portal aggregates|parent,student,teacher|1 file tests.py|pytest_portal: 16 OK|IMPLEMENTED_UNVERIFIED|TeacherPortalTests, StudentPortalTests, ParentPortalTests, PortalAnnouncementTests|-

MOD-27|White Label|BrandingPage|apps/white_label|/api/white-label/|4 models (WhiteLabelBranding, SchoolSettings, DomainMapping, WhiteLabelAuditLog)|Branding, theme preview, CSS variables, config, settings, domain mappings, public subdomain, audit|super_admin,admin|1 file tests.py|pytest_white_label: 24 OK|IMPLEMENTED_UNVERIFIED|WhiteLabelBrandingTests, DomainMappingTests, WhiteLabelAuditLogTests, WhiteLabelIntegrationTests|Branding upload = MUTATION_BLOCKED

MOD-28|Workflow|WorkflowDefinitionAdminPage, WorkflowInstanceDetailPage, PendingApprovalsPage|apps/workflow|/api/workflow/|4 models (WorkflowDefinition, WorkflowInstance, WorkflowApproval, WorkflowTransition)|Definitions CRUD+test, instances/actions/history, pending approvals|super_admin,admin,principal,vice_principal,campus_admin,academic,hr|1 file tests.py|pytest_workflow: 21 OK|IMPLEMENTED_UNVERIFIED|WorkflowEngineTests, WorkflowApiTests|Instance actions = MUTATION_BLOCKED

MOD-29|Helpdesk|HelpdeskPage|apps/helpdesk|/api/helpdesk/|3 models (TicketCategory, SupportTicket, TicketMessage)|Categories, staff tickets, assign/resolve/reopen, messages, self-service my tickets|super_admin,admin,principal,vice_principal,campus_admin,academic,hr,receptionist,guard,teacher,staff|1 file tests.py|pytest_helpdesk: 10 OK|IMPLEMENTED_UNVERIFIED|HelpdeskStaffTests, HelpdeskSelfServiceTests|Resolve/assign = MUTATION_BLOCKED

MOD-30|Visitors|VisitorsPage|apps/visitors|/api/visitors/|1 model (Visitor)|Check-in/checkout, stats, no-show|super_admin,admin,principal,vice_principal,campus_admin,academic,hr,receptionist,guard,staff|1 file tests.py|pytest_visitors: 5 OK|IMPLEMENTED_UNVERIFIED|GateTests (check-in/checkout/stats/scoping/role denial)|Check-in/out = MUTATION_BLOCKED

MOD-31|Digital IDs|DigitalIdsPage|apps/digital_ids|/api/digital-ids/|1 model (IdCard)|Issue/reissue/revoke/payload for students/teachers/staff|super_admin,admin,principal,vice_principal,campus_admin,academic,hr,receptionist,staff|1 file tests.py|pytest_digital_ids: 6 OK|IMPLEMENTED_UNVERIFIED|DigitalCardTests|Issue/revoke = MUTATION_BLOCKED

MOD-32|SaaS Platform|TenantsPage|apps/saas|/api/saas/|4 models (FeatureFlag, Plan, Subscription, DailyUsageSnapshot)|Feature flags, plans/subscriptions, usage analytics, platform overview/status/security|super_admin,org_admin (platform flag)|1 file tests.py|pytest_saas: 76 OK|IMPLEMENTED_UNVERIFIED|FeatureFlagServiceTests, SubscriptionServiceTests, UsageAnalyticsServiceTests, BruteForceAuditTests, TenantProvisioningTests|Platform mutation = MUTATION_BLOCKED

MOD-33|AI Assistant|AIAssistantPage|apps/ai|/api/ai/|0 models (service-backed)|Overview, ask, search, insights (students/attendance/academic/finance), anomalies, communication drafts|ANY authenticated (role-gated)|4 files: test_phase_p5_audit, test_phase_p5_authorization, test_phase_p5_insights, test_phase_p5_isolation|pytest ai logs OK|IMPLEMENTED_UNVERIFIED|AiRoleGateTests, AiTenantIsolationTests, AiCampusIsolationTests, AiTeacherSelfScopeTests, Ai*InsightsTests|Requires external AI provider (unverified); draft-only (no send)

MOD-34|Schools & Campuses|AcademicsPage, SettingsPage, CampusesPage, TenantsPage, BrandingPage|apps/schools|/api/schools/|11 models (School, Campus, AcademicUnit, Class, Section, AcademicYear, Term, Subject, SchoolSettings, SubjectGroup, ClassTeacher, AcademicCalendar, SubjectOffering)|Academic structure, campus CRUD, school lifecycle, branding, tenant config, module flags, media serving|super_admin,admin,principal,academic|4 files: tests.py, test_media_views, test_phase_p4_capabilities, test_tenant_isolation|pytest_schools: 14 OK|IMPLEMENTED_UNVERIFIED|AcademicYearTermWorkflowApiTests, TenantDataIsolationTests, ModuleEnforcementTests, ProtectedMediaAccessTests, PublicAdmissionIsolationTests|School lifecycle ops = MUTATION_BLOCKED

======================================================================
MODULE DEEP AUDIT SUMMARY
======================================================================
TOTAL_MODULES_AUDITED: 34
BACKEND_APPS_GROUPED: 37 (all accounted for; apps/tests app is dedicated shared tenant-isolation test harness)
MODELS_PER_MODULE: 1..26 (hr largest 26; dashboard/search/portal/ai/documents have none)
MODULE_STATUS: 34/34 IMPLEMENTED_UNVERIFIED (primary) with AUTH_TEST_BLOCKED environmental blocker. Zero modules WORKING_PROVEN in production except /api/health/ (which is a platform endpoint, not a module).
MUTATION_BLOCKED_MODULES: 26 of 34 (all modules requiring production data writes; no authorized safe path)
ZERO_TEST_MODULES (test gap): transport, discipline, health, homework, lms, search, documents (7 apps with no tests.py) -> TPR-5
MODULE_INTEGRATION: all modules have FE->API->View->Model code traces (see END_TO_END_TRACE) - no broken code paths found via static inspection
SPECIFIC FINDINGS:
  1. Library has its own /api/library/deploy-test/ endpoint (purpose mirror of global deploy-test)
  2. hr/urls.py and lms/urls.py contain duplicate/overriding URL patterns (TPR-6/TPR-7)
  3. reports module exposes 100+ registered report endpoints - broadest API surface
  4. No module has production authenticated read evidence; all AUTH_TEST_BLOCKED
  5. dashboard/finance/exams aggregation logic unit-tested but not live-verified

======================================================================
STEP 8 COMPLETE - 2026-09-24
======================================================================
